project_code,reporting_month,reporting_year,original_cost,revised_cost,expenditure,physical_progress,month_num,current_revised_cost,current_cost_escalation_amount,current_cost_escalation_percent,cumulative_expenditure,expenditure_ratio,project_age_days,planned_duration_days,schedule_slip_days,previous_expenditure,previous_revised_cost,previous_physical_progress,expenditure_delta,cost_revision_delta,physical_progress_delta,schedule_change_delta_days,time_delta_months,expenditure_velocity,cost_revision_velocity,physical_progress_velocity,schedule_slip_velocity,remaining_physical_progress,remaining_duration_days,cost_to_progress_ratio,expenditure_to_progress_ratio,previous_progress_velocity,progress_velocity_deceleration,time_target
0.328 on Dharasu-Yamunotri section b/w Chainage 25.400km and 51.00km falling,May,2026,1383.78,1383.78,710.42,72.85,5,1383.78,0.0,0.0,710.42,0.5133908569281244,2861.0,1461.0,1704.0,688.93,1383.78,70.64,21.49000000000001,0.0,2.2099999999999937,0.0,1.0,21.49000000000001,0.0,2.2099999999999937,0.0,27.150000000000006,304.0,0.7047232078629024,9.751818805765271,0.0,-2.2099999999999937,0.0
0.328 on Dharasu-Yamunotri section b/w Chainage 25.400km and 51.00km falling,June,2026,1383.78,1383.78,830.46,73.5,6,1383.78,0.0,0.0,830.46,0.6001387503793956,2892.0,1461.0,1704.0,710.42,1383.78,72.85,120.04000000000008,0.0,0.6500000000000057,0.0,1.0,120.04000000000008,0.0,0.6500000000000057,0.0,26.5,273.0,0.8165153066386335,11.298775510204083,2.2099999999999937,1.559999999999988,0.0
0000 to Km 36635 Design length 36.635 Km existing Km 112000 to Km 151060,April,2026,801.07,801.07,64.53,24.13,4,801.07,0.0,0.0,64.53,0.08055475801116006,212.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.87,518.0,0.33383654376775823,2.6742644011603813,0.0,0.0,0.0
0000 to Km 36635 Design length 36.635 Km existing Km 112000 to Km 151060,May,2026,801.07,801.07,64.53,24.74,5,801.07,0.0,0.0,64.53,0.08055475801116006,242.0,730.0,0.0,64.53,801.07,24.13,0.0,0.0,0.6099999999999994,0.0,1.0,0.0,0.0,0.6099999999999994,0.0,75.26,488.0,0.32560532745012155,2.608326596604689,0.0,-0.6099999999999994,0.0
0000 to Km 36635 Design length 36.635 Km existing Km 112000 to Km 151060,June,2026,801.07,801.07,176.12,26.08,6,801.07,0.0,0.0,176.12,0.21985594267666994,273.0,730.0,0.0,64.53,801.07,24.74,111.59,0.0,1.3399999999999999,0.0,1.0,111.59,0.0,1.3399999999999999,0.0,73.92,457.0,0.8430059151712805,6.753067484662577,0.6099999999999994,-0.7300000000000004,0.0
0000 to km 12800 Package-I under SARDP-NE PHASE A in the State of Meghalaya,April,2026,620.3,620.3,215.93,68.85,4,620.3,0.0,0.0,215.93,0.3481057552797034,577.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.150000000000006,153.0,0.5056002255333384,3.1362381989832975,0.0,0.0,0.0
0000 to km 12800 Package-I under SARDP-NE PHASE A in the State of Meghalaya,May,2026,620.3,620.3,216.26,70.82,5,620.3,0.0,0.0,216.26,0.34863775592455265,607.0,730.0,0.0,215.93,620.3,68.85,0.3299999999999841,0.0,1.9699999999999989,0.0,1.0,0.3299999999999841,0.0,1.9699999999999989,0.0,29.180000000000007,123.0,0.4922871447677954,3.0536571589946346,0.0,-1.9699999999999989,0.0
0000 to km 12800 Package-I under SARDP-NE PHASE A in the State of Meghalaya,June,2026,620.3,620.3,304.5,73.13,6,620.3,0.0,0.0,304.5,0.4908915041109141,638.0,730.0,0.0,216.26,620.3,70.82,88.24000000000001,0.0,2.3100000000000023,0.0,1.0,88.24000000000001,0.0,2.3100000000000023,0.0,26.870000000000005,92.0,0.6712587229740382,4.163817858607959,1.9699999999999989,-0.3400000000000034,0.0
0342 to Km 4604,April,2026,1388.59,1388.59,200.25,21.93,4,1388.59,0.0,0.0,200.25,0.144211034214563,882.0,912.0,549.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,78.07,579.0,0.6575970552419653,9.131326949384405,0.0,0.0,1.0
0342 to Km 4604,May,2026,1388.59,1388.59,209.2,22.8,5,1388.59,0.0,0.0,209.2,0.15065642126185555,912.0,912.0,1035.0,200.25,1388.59,21.93,8.949999999999989,0.0,0.870000000000001,486.0,1.0,8.949999999999989,0.0,0.870000000000001,486.0,77.2,1035.0,0.6607737774642787,9.175438596491228,0.0,-0.870000000000001,0.0
0342 to Km 4604,June,2026,1388.59,1388.59,268.23,22.8,6,1388.59,0.0,0.0,268.23,0.19316716957489255,943.0,912.0,1035.0,209.2,1388.59,22.8,59.03000000000003,0.0,0.0,0.0,1.0,59.03000000000003,0.0,0.0,0.0,77.2,1004.0,0.847224427960055,11.764473684210527,0.870000000000001,0.870000000000001,0.0
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near,April,2026,657.21,657.21,0.0,57.95,4,657.21,0.0,0.0,0.0,0.0,577.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.05,153.0,0.0,0.0,0.0,0.0,1.0
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near,May,2026,657.21,657.21,0.0,60.05,5,657.21,0.0,0.0,0.0,0.0,607.0,730.0,181.0,0.0,657.21,57.95,0.0,0.0,2.0999999999999943,181.0,1.0,0.0,0.0,2.0999999999999943,181.0,39.95,304.0,0.0,0.0,0.0,-2.0999999999999943,0.0
08 and from design Km 0.000 South Pulinpur to design Km 36.00 near,June,2026,657.21,657.21,0.0,60.5,6,657.21,0.0,0.0,0.0,0.0,638.0,730.0,181.0,0.0,657.21,60.05,0.0,0.0,0.45000000000000284,0.0,1.0,0.0,0.0,0.45000000000000284,0.0,39.5,273.0,0.0,0.0,2.0999999999999943,1.6499999999999915,0.0
10.470 km in the State of Madhya Pradesh on EPC mode.,April,2026,214.07,214.07,0.0,40.3,4,214.07,0.0,0.0,0.0,0.0,761.0,549.0,456.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.7,244.0,0.0,0.0,0.0,0.0,0.0
10.470 km in the State of Madhya Pradesh on EPC mode.,May,2026,214.07,214.07,0.0,40.3,5,214.07,0.0,0.0,0.0,0.0,791.0,549.0,456.0,0.0,214.07,40.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.7,214.0,0.0,0.0,0.0,0.0,0.0
10.470 km in the State of Madhya Pradesh on EPC mode.,June,2026,214.07,214.07,0.0,41.59,6,214.07,0.0,0.0,0.0,0.0,822.0,549.0,456.0,0.0,214.07,40.3,0.0,0.0,1.2900000000000063,0.0,1.0,0.0,0.0,1.2900000000000063,0.0,58.41,183.0,0.0,0.0,0.0,-1.2900000000000063,0.0
10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under,April,2026,277.44,277.44,192.45,69.82,4,277.44,0.0,0.0,192.45,0.6936634948096886,2008.0,730.0,1339.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.180000000000007,61.0,0.9935025706240169,2.7563735319392726,0.0,0.0,0.0
10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under,May,2026,277.44,277.44,192.83,69.82,5,277.44,0.0,0.0,192.83,0.6950331603229528,2038.0,730.0,1339.0,192.45,277.44,69.82,0.3800000000000239,0.0,0.0,0.0,1.0,0.3800000000000239,0.0,0.0,0.0,30.180000000000007,31.0,0.9954642800386034,2.761816098539101,0.0,0.0,1.0
10.500 km] including TUNNEL of 500m at Ch. 11.000 in the state of Nagaland Under,June,2026,277.44,277.44,198.97,69.76,6,277.44,0.0,0.0,198.97,0.7171640715109573,2069.0,730.0,1826.0,192.83,277.44,69.82,6.139999999999986,0.0,-0.05999999999998806,487.0,1.0,6.139999999999986,0.0,-0.05999999999998806,487.0,30.239999999999995,487.0,1.0280448272806153,2.8522075688073394,0.0,0.05999999999998806,0.0
10/300 on NH 53 in state of Maharashtra.,April,2026,478.83,490.52,0.0,95.0,4,490.52,11.689999999999998,0.02441367499947789,0.0,0.0,1492.0,731.0,396.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,-365.0,0.0,0.0,0.0,0.0,0.0
103.557 on EPC Mode in Manipur PKG-4,April,2026,579.63,579.63,377.13,84.86,4,579.63,0.0,0.0,377.13,0.6506392008695202,1400.0,548.0,943.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.14,91.0,0.7667207174988454,4.4441432948385575,0.0,0.0,0.0
103.557 on EPC Mode in Manipur PKG-4,May,2026,579.63,579.63,381.11,85.89,5,579.63,0.0,0.0,381.11,0.6575056501561342,1430.0,548.0,943.0,377.13,579.63,84.86,3.980000000000018,0.0,1.0300000000000011,0.0,1.0,3.980000000000018,0.0,1.0300000000000011,0.0,14.11,61.0,0.7655206079358879,4.437187099778787,0.0,-1.0300000000000011,0.0
103.557 on EPC Mode in Manipur PKG-4,June,2026,579.63,579.63,404.8,85.98,6,579.63,0.0,0.0,404.8,0.6983765505581147,1461.0,548.0,943.0,381.11,579.63,85.89,23.689999999999998,0.0,0.09000000000000341,0.0,1.0,23.689999999999998,0.0,0.09000000000000341,0.0,14.019999999999996,30.0,0.8122546528938296,4.708071644568504,1.0300000000000011,0.9399999999999977,1.0
104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm,April,2026,500.88,500.88,305.45,75.35,4,500.88,0.0,0.0,305.45,0.6098267049992014,882.0,547.0,61.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.650000000000006,-274.0,0.8093254213658945,4.0537491705374915,0.0,0.0,0.0
104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm,May,2026,500.88,500.88,305.45,75.35,5,500.88,0.0,0.0,305.45,0.6098267049992014,912.0,547.0,61.0,305.45,500.88,75.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.650000000000006,-304.0,0.8093254213658945,4.0537491705374915,0.0,0.0,1.0
104.129 including 2.459 km re-alignment section from Tuivai River to Rulchawm,June,2026,500.88,500.88,442.08,99.52,6,500.88,0.0,0.0,442.08,0.8826066123622425,943.0,547.0,426.0,305.45,500.88,75.35,136.63,0.0,24.17,365.0,1.0,136.63,0.0,24.17,365.0,0.480000000000004,30.0,0.8868635574379446,4.442122186495177,0.0,-24.17,0.0
112.240 KmPackage-III,April,2026,1183.71,1170.64,83.68,0.0,4,1170.64,-13.069999999999936,-0.011041555786467915,83.68,0.07148226611084535,304.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,426.0,7.148226611084535,8368.0,0.0,0.0,0.0
112.240 KmPackage-III,May,2026,1183.71,1170.64,83.68,0.0,5,1170.64,-13.069999999999936,-0.011041555786467915,83.68,0.07148226611084535,334.0,730.0,0.0,83.68,1170.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,396.0,7.148226611084535,8368.0,0.0,0.0,1.0
112.240 KmPackage-III,June,2026,1183.71,1170.64,163.15,5.0,6,1170.64,-13.069999999999936,-0.011041555786467915,163.15,0.13936820884302603,243.0,730.0,92.0,83.68,1170.64,0.0,79.47,0.0,5.0,214.0,1.0,79.47,0.0,5.0,214.0,95.0,579.0,2.7873641768605206,32.63,0.0,-5.0,0.0
116.550 near Hangrum Package-7 on EPC mode Package7,April,2026,846.82,846.82,0.0,85.29,4,846.82,0.0,0.0,0.0,0.0,761.0,730.0,92.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.709999999999994,61.0,0.0,0.0,0.0,0.0,1.0
116.550 near Hangrum Package-7 on EPC mode Package7,May,2026,846.82,846.82,0.0,85.29,5,846.82,0.0,0.0,0.0,0.0,791.0,730.0,275.0,0.0,846.82,85.29,0.0,0.0,0.0,183.0,1.0,0.0,0.0,0.0,183.0,14.709999999999994,214.0,0.0,0.0,0.0,0.0,0.0
116.550 near Hangrum Package-7 on EPC mode Package7,June,2026,846.82,846.82,0.0,90.36,6,846.82,0.0,0.0,0.0,0.0,822.0,730.0,275.0,0.0,846.82,85.29,0.0,0.0,5.069999999999993,0.0,1.0,0.0,0.0,5.069999999999993,0.0,9.64,183.0,0.0,0.0,0.0,-5.069999999999993,0.0
132.375] Total New Alignment length of 14.325 Km of Daboka -Dimapur Section,April,2026,511.02,511.02,647.21,100.0,4,511.02,0.0,0.0,647.21,1.2665062032797152,2343.0,1096.0,1035.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-212.0,1.2665062032797152,6.4721,0.0,0.0,0.0
136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,April,2026,904.04,904.04,520.05,85.2,4,904.04,0.0,0.0,520.05,0.5752510950842883,974.0,731.0,304.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.799999999999997,61.0,0.6751773416482257,6.103873239436619,0.0,0.0,1.0
136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,May,2026,904.04,904.04,538.33,85.2,5,904.04,0.0,0.0,538.33,0.5954714393168444,1004.0,731.0,396.0,520.05,904.04,85.2,18.280000000000086,0.0,0.0,92.0,1.0,18.280000000000086,0.0,0.0,92.0,14.799999999999997,123.0,0.6989101400432447,6.318427230046948,0.0,0.0,0.0
136.500 near Hejaichak Package-8 on EPC mode under NHO-NE Package 8,June,2026,904.04,904.04,557.37,85.2,6,904.04,0.0,0.0,557.37,0.6165324543161808,1035.0,731.0,396.0,538.33,904.04,85.2,19.039999999999964,0.0,0.0,0.0,1.0,19.039999999999964,0.0,0.0,0.0,14.799999999999997,92.0,0.7236296412161746,6.541901408450704,0.0,0.0,0.0
138.00 After Humphrey to Kadamtala & Km 155.00 to Km 181.0 End of Jarwa to,April,2026,207.45,376.48,0.0,78.01,4,376.48,169.03000000000003,0.8147987466859486,0.0,0.0,761.0,549.0,242.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.989999999999995,30.0,0.0,0.0,0.0,0.0,1.0
138.300 After Humphrey to Kadamtala of NH-4 Intermediate/2-Lane with hard,June,2026,207.45,376.48,0.0,81.32,6,376.48,169.03000000000003,0.8147987466859486,0.0,0.0,822.0,549.0,456.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.680000000000007,183.0,0.0,0.0,0.0,0.0,0.0
"14.490 Km., Starts from Ch. 38770 and ends at Ch. 53260 existing Ch. 05560",April,2026,936.12,717.5,332.92,44.14,4,717.5,-218.62,-0.23353843524334486,332.92,0.464,761.0,549.0,456.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,55.86,244.0,1.0512007249660171,7.542365201631174,0.0,0.0,1.0
"14.490 Km., Starts from Ch. 38770 and ends at Ch. 53260 existing Ch. 05560",May,2026,936.12,717.5,348.8,50.11,5,717.5,-218.62,-0.23353843524334486,348.8,0.4861324041811847,791.0,549.0,546.0,332.92,717.5,44.14,15.879999999999995,0.0,5.969999999999999,90.0,1.0,15.879999999999995,0.0,5.969999999999999,90.0,49.89,304.0,0.9701305212156949,6.960686489722611,0.0,-5.969999999999999,0.0
"14.490 Km., Starts from Ch. 38770 and ends at Ch. 53260 existing Ch. 05560",June,2026,936.12,717.5,369.85,53.84,6,717.5,-218.62,-0.23353843524334486,369.85,0.5154703832752614,822.0,549.0,546.0,348.8,717.5,50.11,21.05000000000001,0.0,3.730000000000004,0.0,1.0,21.05000000000001,0.0,3.730000000000004,0.0,46.16,273.0,0.9574115588322092,6.8694279346211,5.969999999999999,2.239999999999995,0.0
14380 near Sutarkandi Spur Connectivity to Indo/Bangladesh Border on Silchar-,April,2026,791.79,791.79,0.06,40.4,4,791.79,0.0,0.0,0.06,7.577766832114576e-05,424.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.6,306.0,0.0001875684859434301,0.0014851485148514852,0.0,0.0,0.0
14380 near Sutarkandi Spur Connectivity to Indo/Bangladesh Border on Silchar-,May,2026,791.79,791.79,0.06,40.4,5,791.79,0.0,0.0,0.06,7.577766832114576e-05,454.0,730.0,0.0,0.06,791.79,40.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.6,276.0,0.0001875684859434301,0.0014851485148514852,0.0,0.0,0.0
14380 near Sutarkandi Spur Connectivity to Indo/Bangladesh Border on Silchar-,June,2026,791.79,791.79,0.06,41.88,6,791.79,0.0,0.0,0.06,7.577766832114576e-05,485.0,730.0,0.0,0.06,791.79,40.4,0.0,0.0,1.480000000000004,0.0,1.0,0.0,0.0,1.480000000000004,0.0,58.12,245.0,0.0001809399912157253,0.0014326647564469914,0.0,-1.480000000000004,0.0
15/AS/2021-22/234,April,2026,535.03,535.03,161.56,70.71,4,535.03,0.0,0.0,161.56,0.3019643758293928,1096.0,731.0,609.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.290000000000006,244.0,0.4270462110442551,2.284825342950078,0.0,0.0,0.0
15/AS/2021-22/234,May,2026,535.03,535.03,181.49,75.65,5,535.03,0.0,0.0,181.49,0.3392146234790573,1126.0,731.0,609.0,161.56,535.03,70.71,19.930000000000007,0.0,4.940000000000012,0.0,1.0,19.930000000000007,0.0,4.940000000000012,0.0,24.349999999999994,214.0,0.4484000310364273,2.3990746860541967,0.0,-4.940000000000012,0.0
15/AS/2021-22/234,June,2026,535.03,535.03,209.27,75.82,6,535.03,0.0,0.0,209.27,0.39113694559183604,1157.0,731.0,609.0,181.49,535.03,75.65,27.78,0.0,0.1699999999999875,0.0,1.0,27.78,0.0,0.1699999999999875,0.0,24.180000000000007,183.0,0.5158756866154525,2.760089686098655,4.940000000000012,4.770000000000024,0.0
156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,April,2026,860.37,614.43,528.46,87.5,4,614.43,-245.94000000000005,-0.2858537605913735,528.46,0.860081701739824,974.0,731.0,304.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.5,61.0,0.9829505162740846,6.039542857142858,0.0,0.0,1.0
156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,May,2026,860.37,614.43,545.83,87.5,5,614.43,-245.94000000000005,-0.2858537605913735,545.83,0.8883518057386522,1004.0,731.0,334.0,528.46,614.43,87.5,17.370000000000005,0.0,0.0,30.0,1.0,17.370000000000005,0.0,0.0,30.0,12.5,61.0,1.0152592065584598,6.238057142857143,0.0,0.0,0.0
156.489 near P. Leikul Package-9 on EPC mode under NHO-NE Package-9,June,2026,860.37,614.43,559.69,87.5,6,614.43,-245.94000000000005,-0.2858537605913735,559.69,0.9109092980485981,1035.0,731.0,334.0,545.83,614.43,87.5,13.860000000000014,0.0,0.0,0.0,1.0,13.860000000000014,0.0,0.0,0.0,12.5,30.0,1.0410391977698263,6.396457142857144,0.0,0.0,1.0
16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,April,2026,264.84,380.94,0.0,85.15,4,380.94,116.10000000000002,0.43837788853647497,0.0,0.0,1186.0,547.0,883.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.849999999999994,244.0,0.0,0.0,0.0,0.0,0.0
16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,May,2026,264.84,380.94,0.0,86.04,5,380.94,116.10000000000002,0.43837788853647497,0.0,0.0,1216.0,547.0,883.0,0.0,380.94,85.15,0.0,0.0,0.8900000000000006,0.0,1.0,0.0,0.0,0.8900000000000006,0.0,13.959999999999994,214.0,0.0,0.0,0.0,-0.8900000000000006,0.0
16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,June,2026,264.84,380.94,0.17,87.03,6,380.94,116.10000000000002,0.43837788853647497,0.17,0.0004462645035963669,1247.0,547.0,883.0,0.0,380.94,86.04,0.17,0.0,0.9899999999999949,0.0,1.0,0.17,0.0,0.9899999999999949,0.0,12.969999999999999,183.0,0.0005127708877356853,0.0019533494197403194,0.8900000000000006,-0.09999999999999432,0.0
168.630 Package-4,April,2026,996.5,846.68,162.84,30.89,4,846.68,-149.82000000000005,-0.1503462117410939,162.84,0.19232767987905705,212.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,69.11,518.0,0.6226211715087635,5.2716089349303985,0.0,0.0,0.0
168.630 Package-4,May,2026,996.5,846.68,137.19,33.27,5,846.68,-149.82000000000005,-0.1503462117410939,137.19,0.1620328813719469,242.0,730.0,0.0,162.84,846.68,30.89,-25.650000000000006,0.0,2.3800000000000026,0.0,1.0,-25.650000000000006,0.0,2.3800000000000026,0.0,66.72999999999999,488.0,0.48702398969626354,4.123534715960324,0.0,-2.3800000000000026,0.0
168.630 Package-4,June,2026,996.5,846.68,288.69,44.92,6,846.68,-149.82000000000005,-0.1503462117410939,288.69,0.3409670713847026,273.0,730.0,0.0,137.19,846.68,33.27,151.5,0.0,11.649999999999999,0.0,1.0,151.5,0.0,11.649999999999999,0.0,55.08,457.0,0.7590540324681714,6.4267586821015135,2.3800000000000026,-9.269999999999996,0.0
169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under,May,2026,538.71,538.71,0.0,0.0,5,538.71,0.0,0.0,0.0,0.0,89.0,730.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,641.0,0.0,0.0,0.0,0.0,0.0
169 on Shimoga-Mangalore section in the state of Karnataka on EPC mode under,June,2026,538.71,538.71,14.63,6.0,6,538.71,0.0,0.0,14.63,0.02715746876798277,120.0,730.0,0.0,0.0,538.71,0.0,14.63,0.0,6.0,0.0,1.0,14.63,0.0,6.0,0.0,94.0,610.0,0.45262447946637957,2.4383333333333335,0.0,-6.0,0.0
17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205,April,2026,467.99,699.68,450.86,97.92,4,699.68,231.68999999999994,0.495074681082929,450.86,0.6443802881317174,1308.0,731.0,607.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0799999999999983,30.0,0.6580681047096787,4.60437091503268,0.0,0.0,1.0
17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205,May,2026,467.99,699.68,451.47,97.92,5,699.68,231.68999999999994,0.495074681082929,451.47,0.645252115252687,1338.0,731.0,638.0,450.86,699.68,97.92,0.6100000000000136,0.0,0.0,31.0,1.0,0.6100000000000136,0.0,0.0,31.0,2.0799999999999983,31.0,0.6589584510341983,4.610600490196078,0.0,0.0,1.0
17.520 kms of Tirupathi- Tiruttani- Chennai section of NH 205,June,2026,467.99,699.68,594.43,97.92,6,699.68,231.68999999999994,0.495074681082929,594.43,0.8495740910130345,1369.0,731.0,668.0,451.47,699.68,97.92,142.95999999999992,0.0,0.0,30.0,1.0,142.95999999999992,0.0,0.0,30.0,2.0799999999999983,30.0,0.8676205994822656,6.070567810457516,0.0,0.0,1.0
176.410 near Borowapu on EPC mode under NHO-NE Assam portion Package-10,April,2026,890.33,693.15,569.61,81.9,4,693.15,-197.18000000000006,-0.2214684442847035,569.61,0.821770179614802,974.0,731.0,304.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.099999999999994,61.0,1.003382392692066,6.954945054945054,0.0,0.0,1.0
